,Column Labels,,,,,,,
,100/300,,250/500,,500/1000,,Total Average of total_claim_amount,Total Count of total_claim_amount
Row Labels,Average of total_claim_amount,Count of total_claim_amount,Average of total_claim_amount,Count of total_claim_amount,Average of total_claim_amount,Count of total_claim_amount,,
IL,54175.76271,118,52140.88496,113,52118.41121,107,52844.1716,338
Major Damage,68406.90476,42,61979.66667,30,60236,20,64534.78261,92
23,41850,1,98340,1,,,70095,2
25,,,75600,1,,,75600,1
26,,,59113.33333,3,,,59113.33333,3
27,62240,2,,,,,62240,2
28,79800,1,44730,1,33480,1,52670,3
29,94560,1,58300,2,,,70386.66667,3
30,77110,1,,,,,77110,1
31,59000,3,67740,3,,,63370,6
32,63600,1,78430,2,62260,1,70680,4
33,73575,2,,,81400,1,76183.33333,3
34,,,45540,1,,,45540,1
35,72016.66667,3,,,54340,1,67597.5,4
36,69680,1,,,76560,1,73120,2
37,55670,2,68760,1,49100,1,57300,4
38,65665,4,50600,3,,,59208.57143,7
39,75545,2,87960,1,50950,2,68190,5
41,94860,2,58925,2,64000,1,74314,5
42,,,,,78980,1,78980,1
43,60750,1,60850,2,79970,1,65605,4
44,68850,3,,,35900,1,60612.5,4
45,63465,2,53280,1,,,60070,3
46,64570,1,63580,1,77660,1,68603.33333,3
47,71760,1,,,74195,2,73383.33333,3
48,,,59400,1,50910,2,53740,3
49,,,42240,1,,,42240,1
50,72840,1,,,,,72840,1
51,76365,2,,,,,76365,2
52,,,,,47630,1,47630,1
55,71520,1,,,,,71520,1
56,,,38610,1,,,38610,1
57,58333.33333,3,,,,,58333.33333,3
58,,,63580,1,,,63580,1
59,,,72400,1,,,72400,1
61,,,,,64350,1,64350,1
62,64350,1,,,46980,1,55665,2
Minor Damage,49437,30,54822.09302,43,51936.27907,43,52359.65517,116
23,,,,,51660,1,51660,1
24,,,,,53370,1,53370,1
25,6930,1,64890,1,,,35910,2
26,58530,4,74200,1,5160,1,52246.66667,6
27,,,5900,1,32120,2,23380,3
28,,,51773.33333,3,60000,1,53830,4
29,62920,1,7500,1,,,35210,2
30,60170,1,49392,5,57640,1,52110,7
31,,,,,58255,2,58255,2
32,,,43600,1,56300,1,49950,2
33,4900,1,67840,3,,,52105,4
34,57850,2,,,77443.33333,3,69606,5
35,53190,1,,,4706.666667,3,16827.5,4
36,58355,2,,,,,58355,2
37,,,79530,1,48780,1,64155,2
38,70900,1,66976.66667,3,64620,1,67290,5
39,59400,2,,,62160,2,60780,4
40,39466.66667,6,53460,1,77623.33333,3,52313,10
41,,,67236,5,69300,1,67580,6
42,86130,1,51740,1,40995,2,54965,4
43,34290,1,77100,1,79675,2,67685,4
44,56400,1,51400,1,36700,2,45300,4
45,,,62590,1,78182.5,4,75064,5
46,57330,1,39386.66667,3,76120,1,50322,5
47,,,,,6240,1,6240,1
48,33480,1,53000,3,90240,1,56544,5
49,4320,1,,,5330,1,4825,2
51,,,,,4620,1,4620,1
52,,,88920,1,,,88920,1
53,,,68750,1,34290,2,45776.66667,3
54,59520,1,,,100800,1,80160,2
55,,,50020,2,,,50020,2
57,,,59400,1,2640,1,31020,2
61,70500,1,,,,,70500,1
63,,,24130,2,,,24130,2
Total Loss,61026.25,32,59625.18519,27,59989.14286,35,60237.65957,94
25,,,,,69000,2,69000,2
26,,,64135,2,78650,1,68973.33333,3
28,60200,1,,,,,60200,1
29,,,44910,1,,,44910,1
30,85690,1,61740,1,65823.33333,3,68980,5
31,93730,1,,,61040,2,71936.66667,3
32,59400,1,73560,1,58293.33333,3,61568,5
33,34695,2,,,56630,3,47856,5
34,42825,2,78690,4,,,66735,6
35,47723.33333,3,62350,2,43995,2,50837.14286,7
36,65400,1,48100,2,61050,1,55662.5,4
37,63336.66667,3,60750,1,67545,2,64308.33333,6
38,67602.5,4,,,,,67602.5,4
39,,,42435,2,61800,1,48890,3
40,,,53345,2,,,53345,2
41,84590,1,60190,1,59455,2,65922.5,4
42,68010,2,61490,1,70830,1,67085,4
43,,,36960,1,57060,1,47010,2
44,,,29765,2,49980,2,39872.5,4
45,58005,2,79680,1,67320,1,65752.5,4
46,65780,1,,,64980,2,65246.66667,3
47,60500,1,,,58560,1,59530,2
48,,,,,39380,2,39380,2
49,61930,2,,,,,61930,2
50,,,57060,1,49060,1,53060,2
51,,,90480,1,,,90480,1
53,53235,2,,,,,53235,2
54,75960,1,,,,,75960,1
55,,,,,88400,1,88400,1
56,,,68040,1,,,68040,1
60,60600,1,,,53900,1,57250,2
Trivial Damage,5978.571429,14,5023.076923,13,4341.111111,9,5224.166667,36
24,5940,1,,,,,5940,1
26,6890,1,,,3190,1,5040,2
27,6645,2,,,,,6645,2
29,5000,1,5700,2,,,5466.666667,3
31,,,5760,1,,,5760,1
33,,,5060,1,4290,1,4675,2
35,,,,,2640,1,2640,1
36,,,2800,1,4700,1,3750,2
38,,,2640,1,,,2640,1
39,4125,2,3440,1,,,3896.666667,3
40,5940,1,5670,1,3190,1,4933.333333,3
41,5000,1,4100,1,5170,1,4756.666667,3
42,5600,1,5900,1,,,5750,2
43,7680,1,,,3840,1,5760,2
44,6100,1,,,4680,1,5390,2
45,,,,,7370,1,7370,1
46,,,5940,1,,,5940,1
49,7080,1,,,,,7080,1
53,6930,1,5700,1,,,6315,2
57,,,6890,1,,,6890,1
IN,56908.78261,115,52300.09346,107,48767.5,88,53006.96774,310
Major Damage,63536.9697,33,65475.66667,30,67140.90909,22,65154,85
21,,,,,91260,1,91260,1
22,,,,,86130,1,86130,1
24,65520,1,,,,,65520,1
25,59520,2,66780,1,,,61940,3
